repeat,model,auc,within_site_auc,ap,balanced_accuracy,brier
1,full_covariates_lr,0.7204803097809224,0.686486769645458,0.6916729315974334,0.6567727420135219,0.22174144559054887
1,full_covariates_tiv_lr,0.7240600024290877,0.6910254117382232,0.6907526452546771,0.658032653107095,0.2179469543920469
1,full_functional_lr,0.6887557032216938,0.641282344424194,0.6278873492324653,0.6210965737382578,0.23724559173539683
1,full_functional_mlp,0.7064244637386209,0.6791981424594385,0.6629381008967279,0.6404592169118376,0.22558997282294677
1,full_functional_tiv_mlp,0.7087738164553832,0.6702902642384808,0.6668699122256901,0.6505669835413433,0.22552944007044487
1,full_fusion_lr,0.6706990345829297,0.6325071398327365,0.6123451115154763,0.595861192380837,0.23958469270096128
1,full_fusion_mlp,0.6837366301524227,0.6513652665761988,0.6246753800662986,0.6340874196353924,0.234232779002623
1,full_fusion_structural_mlp,0.6909430897666807,0.6539161510164203,0.6523043631322644,0.6304447031237389,0.22569412150453572
1,full_fusion_tiv_mlp,0.6897257981718562,0.6573873080020035,0.6394299113464021,0.6284545284615101,0.23302408567119148
1,image_fusion_lr,0.6393365889813972,0.5956900071445423,0.5554164124906507,0.5869546740298839,0.2830909730279171
1,image_fusion_mlp,0.6245765746228281,0.5850843894403899,0.5365913762166995,0.5780220334319438,0.2939784447506043
1,structural_lr,0.6288921798146311,0.5804166807077487,0.5567561370513642,0.584786666765268,0.3037631693307158
1,structural_mlp,0.6330849340082579,0.5778064150604586,0.5631292161992949,0.5917032953180476,0.24984230576518796
1,structural_tiv_lr,0.6287052834205191,0.5794091895465293,0.5585229998476714,0.5806849440417241,0.30351895315332184
1,tangent_lr,0.6352818709581315,0.5866072627746428,0.5650389923351263,0.590437849621345,0.2603243320596213
1,tangent_mlp,0.6189494624242324,0.5814549231916103,0.53533270564196,0.5828823327959348,0.2630265145830669
1,tiv_lr,0.5214134249723239,0.525743360342108,0.46260222705110343,0.5283339201461834,0.25028113859843604
2,full_covariates_lr,0.6934473904462607,0.6428913537413774,0.6431818422208808,0.6457016209362313,0.22806155825751837
2,full_covariates_tiv_lr,0.7001199639265479,0.6538396380794399,0.6537514920894684,0.6548518022351659,0.22334155375256234
2,full_functional_lr,0.6657012841421038,0.6215885959686228,0.6000965213743882,0.6302508721195299,0.2305221192928372
2,full_functional_mlp,0.6845638370248922,0.6199308439491377,0.6180400431772354,0.6423024567833907,0.22712122949277422
2,full_functional_tiv_mlp,0.69229359619997,0.6313370534888566,0.6292056436236096,0.654853998626543,0.22381116576066104
2,full_fusion_lr,0.6660593452426932,0.6198925618306105,0.6001220077977081,0.6150045023452052,0.22915379129330912
2,full_fusion_mlp,0.6822681074122925,0.6178818501385263,0.6145252692002742,0.6277098272787586,0.22716730043836417
2,full_fusion_structural_mlp,0.6848988851709042,0.6227731634804652,0.6115220335994959,0.6574586302227713,0.22566673961820172
2,full_fusion_tiv_mlp,0.6901663301992302,0.6278451791301368,0.627255659081499,0.6461137100582856,0.22579181990543903
2,image_fusion_lr,0.6371355357576025,0.5934340934268653,0.5667748748226847,0.5905485525124419,0.2420103217582695
2,image_fusion_mlp,0.6557166922163157,0.6161656649552881,0.574102861291088,0.6118573905130509,0.23396040577980173
2,structural_lr,0.60455966373003,0.5581721736455479,0.5483769110284235,0.5555894234205535,0.28132043645817
2,structural_mlp,0.6191509072182332,0.5708400868539254,0.5287477477235251,0.5954685814214413,0.243013304050099
2,structural_tiv_lr,0.6047423196419351,0.558183271322629,0.5481172168119953,0.5529852567538868,0.2813925694928779
2,tangent_lr,0.6191319603555017,0.5866045926860467,0.5626090798353452,0.6004072187050921,0.2602339196319234
2,tangent_mlp,0.6390110555591371,0.6045486725620642,0.5739296373761209,0.6128677650305404,0.2500964596422383
2,tiv_lr,0.5299226808526991,0.5366457222348775,0.4632766734149903,0.5288881535923512,0.2499088424806046
3,full_covariates_lr,0.7106763176242922,0.6623290063832756,0.6667266356419712,0.6704558058709695,0.21950521649993063
3,full_covariates_tiv_lr,0.7102791307379265,0.6623682401067555,0.6627755334692984,0.668339291812516,0.21876248362822845
3,full_functional_lr,0.7155868337175219,0.6691442799810904,0.6732954165705602,0.6457606754603148,0.21881810929443413
3,full_functional_mlp,0.711277270269501,0.6703361750943203,0.6637480793129166,0.643465424812886,0.21927897600087673
3,full_functional_tiv_mlp,0.7139151370272346,0.6580892499484329,0.6671161500877654,0.662590471057799,0.21769263573090503
3,full_fusion_lr,0.7155868337175219,0.6691442799810904,0.6732954165705602,0.6457606754603148,0.21881810929443413
3,full_fusion_mlp,0.711277270269501,0.6703361750943203,0.6637480793129166,0.643465424812886,0.21927897600087673
3,full_fusion_structural_mlp,0.7098032136657276,0.6686245790309914,0.6707027237677169,0.643465424812886,0.2204936442754102
3,full_fusion_tiv_mlp,0.7139151370272346,0.6580892499484329,0.6671161500877654,0.662590471057799,0.21769263573090503
3,image_fusion_lr,0.6129064109678705,0.6032647502724152,0.5854935350919918,0.5422922536213325,0.25454003729168617
3,image_fusion_mlp,0.6222215913941774,0.6144163261488172,0.5894931295172786,0.542598626170352,0.25301175360638367
3,structural_lr,0.5724259298784826,0.5579226780101908,0.5160627215541626,0.5517443670138592,0.3158947296829448
3,structural_mlp,0.5977832856654999,0.5593069611849738,0.5412574444580348,0.5560780756424486,0.25309649308160903
3,structural_tiv_lr,0.570909167876149,0.5576256352038799,0.5151890200303681,0.5576418029112952,0.31602440024023576
3,tangent_lr,0.6030340113549048,0.5603786280110254,0.5493166021357148,0.5537090109991747,0.2443457672498995
3,tangent_mlp,0.613708770881357,0.573825916067607,0.5622124745092987,0.570493370969578,0.24704673787594578
3,tiv_lr,0.4867305237769999,0.4850910838850105,0.4298504948810544,0.5045122762457668,0.25023337337645285
4,full_covariates_lr,0.7198556923905035,0.6648446947968624,0.6913746197993942,0.6750106000532258,0.21472670041362915
4,full_covariates_tiv_lr,0.7222221046366163,0.680193261951243,0.6943157564422772,0.652767537709993,0.21954701249369402
4,full_functional_lr,0.6967100665499832,0.67279129804415,0.6485146204142761,0.6389584441481287,0.22278146708590285
4,full_functional_mlp,0.7177881649239516,0.6800055834766859,0.6754993761277387,0.6614266036527332,0.21771110656429513
4,full_functional_tiv_mlp,0.7186967927542901,0.6873109085055327,0.671666390390422,0.6682638526734861,0.22121478888403365
4,full_fusion_lr,0.6892578474609353,0.666004265959311,0.6447881051974833,0.6253182054439513,0.22410133388284767
4,full_fusion_mlp,0.693429645968246,0.6672867188445623,0.6510822968817068,0.641194812497029,0.2229639546011061
4,full_fusion_structural_mlp,0.6969581104941529,0.662181453127637,0.6542030166584472,0.652976732622939,0.22829094271354813
4,full_fusion_tiv_mlp,0.7058143450892338,0.6724678211433615,0.6496781901183759,0.6602626449440175,0.22396100789344017
4,image_fusion_lr,0.6262588840262422,0.5975228882996938,0.5832700469171229,0.5892811125441134,0.23704219820864492
4,image_fusion_mlp,0.6484528201635334,0.6102874444076768,0.5957420084303077,0.6142765238140345,0.2332463691940172
4,structural_lr,0.6439605642551555,0.5994484417758371,0.5822940537982032,0.6106677868719642,0.23561897022851896
4,structural_mlp,0.6321439525202431,0.5883700121044363,0.5733507231338427,0.6164771018031888,0.24832911317300863
4,structural_tiv_lr,0.6301716669849189,0.5896830679029123,0.5731446774463174,0.60235300796895,0.2799214822203183
4,tangent_lr,0.6154798452681375,0.5911054122288576,0.5770291204233479,0.5935153545500945,0.24739936944146912
4,tangent_mlp,0.6136164435219564,0.5847724165760301,0.5730528340543205,0.5825633092949802,0.253954839457509
