repeat,fold,model,n,auc,within_site_auc,ap,balanced_accuracy,brier
1,1,full_covariates_lr,118,0.744267053701016,0.6989498249708285,0.6940095726137039,0.6577648766328013,0.2272190698045716
1,1,full_covariates_tiv_lr,118,0.7251088534107403,0.6744457409568262,0.6696951744327362,0.6346879535558781,0.22850431850105693
1,1,full_functional_lr,118,0.744267053701016,0.6989498249708285,0.6940095726137039,0.6577648766328013,0.2272190698045716
1,1,full_functional_mlp,118,0.744267053701016,0.6989498249708285,0.6940095726137039,0.6577648766328013,0.2272190698045716
1,1,full_functional_tiv_mlp,118,0.7335268505079825,0.6651108518086347,0.6720354070204733,0.6714078374455733,0.23480721337629018
1,1,full_fusion_lr,118,0.660377358490566,0.632438739789965,0.6273139875595466,0.5847605224963716,0.26076215178847395
1,1,full_fusion_mlp,118,0.660377358490566,0.632438739789965,0.6273139875595466,0.5847605224963716,0.26076215178847395
1,1,full_fusion_structural_mlp,118,0.6978229317851959,0.6231038506417736,0.6621083593203132,0.627721335268505,0.22753151584933845
1,1,full_fusion_tiv_mlp,118,0.6548621190130623,0.6161026837806302,0.6213523246731173,0.567634252539913,0.26319095095013545
1,1,image_fusion_lr,118,0.6008708272859216,0.560093348891482,0.5353345807475896,0.5505079825834542,0.3911564714549454
1,1,image_fusion_mlp,118,0.6008708272859216,0.560093348891482,0.5353345807475896,0.5505079825834542,0.3911564714549454
1,1,structural_lr,118,0.6008708272859216,0.560093348891482,0.5353345807475896,0.5505079825834542,0.3911564714549454
1,1,structural_mlp,118,0.6455732946298983,0.5624270711785296,0.5955000870756256,0.6105950653120464,0.2435825653291562
1,1,structural_tiv_lr,118,0.6017416545718433,0.5624270711785299,0.5365581666583286,0.5410740203193034,0.3911460842161595
1,1,tangent_lr,118,0.6830188679245283,0.6511085180863477,0.6621205983499743,0.6224963715529753,0.2515084679146027
1,1,tangent_mlp,118,0.6447024673439767,0.6184364060676779,0.5825431150050079,0.6063860667634252,0.24420059922844287
1,1,tiv_lr,118,0.4682148040638606,0.48074679113185526,0.40446857638895783,0.5001451378809869,0.2511968326330849
1,2,full_covariates_lr,122,0.6907301066447907,0.6557191392978482,0.6865183436131356,0.6149849603500137,0.23145823732959514
1,2,full_covariates_tiv_lr,122,0.6942849330051956,0.6613816534541337,0.6820216888688069,0.6127973748974569,0.22396670577480662
1,2,full_functional_lr,122,0.6904566584632212,0.6715741789354474,0.638390819323609,0.603363412633306,0.22843373520744195
1,2,full_functional_mlp,122,0.6890894175553733,0.681766704416761,0.6763339374872959,0.6004922067268252,0.2284190322931527
1,2,full_functional_tiv_mlp,122,0.6967459666393219,0.6749716874292185,0.7018279526093343,0.6171725458025704,0.22326440569661613
1,2,full_fusion_lr,122,0.6904566584632212,0.6715741789354474,0.638390819323609,0.603363412633306,0.22843373520744195
1,2,full_fusion_mlp,122,0.6964725184577523,0.6647791619479049,0.6217027990706723,0.6729559748427673,0.2228994917726779
1,2,full_fusion_structural_mlp,122,0.6890894175553733,0.681766704416761,0.6763339374872959,0.6004922067268252,0.2284190322931527
1,2,full_fusion_tiv_mlp,122,0.7115121684440798,0.6806342015855039,0.6607732128337419,0.6439704675963904,0.2188406084012385
1,2,image_fusion_lr,122,0.6680339075745145,0.6489241223103058,0.5650906044838104,0.6374077112387202,0.22722274926890756
1,2,image_fusion_mlp,122,0.6365873666940115,0.6217440543601359,0.5414149808308738,0.6106097894449002,0.256680687115851
1,2,structural_lr,122,0.6404156412359858,0.609286523216308,0.586164215163093,0.6018594476346733,0.28851021194188586
1,2,structural_mlp,122,0.5974842767295597,0.5651189127972819,0.5501922982423435,0.5996718621821164,0.27327031118056977
1,2,structural_tiv_lr,122,0.6393218485097074,0.6070215175537939,0.5905567763926591,0.5989882417281924,0.2878118918406071
1,2,tangent_lr,122,0.6324856439704676,0.6172140430351076,0.5535037022858923,0.5917418649165983,0.2361082201361689
1,2,tangent_mlp,122,0.6204539239814055,0.608154020385051,0.5365750228411535,0.5772491112934099,0.2895279142523401
1,2,tiv_lr,122,0.5799835931091057,0.5787089467723668,0.5231960012417207,0.5808039376538146,0.2495474385964094
1,3,full_covariates_lr,110,0.7264437689969605,0.704791344667697,0.6944908785654605,0.6975683890577508,0.20654702963747987
1,3,full_covariates_tiv_lr,110,0.7527862208713273,0.7372488408037094,0.7205410724624882,0.7266126308679499,0.2013698389002771
1,3,full_functional_lr,110,0.6315433975008442,0.553323029366306,0.5512616557600829,0.602161431948666,0.256083970194177
1,3,full_functional_mlp,110,0.6859169199594731,0.6568778979907264,0.6184707925891839,0.6631205673758864,0.22113181637111598
1,3,full_functional_tiv_mlp,110,0.6960486322188449,0.6707882534775889,0.626746377047263,0.6631205673758864,0.21851670113842836
1,3,full_fusion_lr,110,0.6612630867950017,0.5935085007727975,0.5713305276632734,0.5994596420128335,0.22955819110696787
1,3,full_fusion_mlp,110,0.6943600135089497,0.6568778979907264,0.625009353568677,0.6445457615670382,0.2190366934467171
1,3,full_fusion_structural_mlp,110,0.6859169199594731,0.6568778979907264,0.6184707925891839,0.6631205673758864,0.22113181637111598
1,3,full_fusion_tiv_mlp,110,0.7028031070584262,0.6754250386398764,0.6361641965323473,0.6737588652482269,0.21704069766220052
1,3,image_fusion_lr,110,0.6491050320837555,0.5780525502318392,0.565824052240552,0.5729483282674772,0.2308936983598983
1,3,image_fusion_mlp,110,0.6362715298885512,0.5734157650695518,0.5330245670716353,0.5729483282674772,0.23409817568101646
1,3,structural_lr,110,0.6453900709219859,0.5718701700154559,0.5487696152434098,0.6019925700776765,0.23162282459531608
1,3,structural_mlp,110,0.6561972306653159,0.6058732612055642,0.5436952632799155,0.5648429584599797,0.23267404078583784
1,3,structural_tiv_lr,110,0.6450523471800068,0.5687789799072643,0.5484540564920265,0.6019925700776765,0.23159888340319898
1,3,tangent_lr,110,0.5903411009793988,0.49149922720247297,0.4794926763695126,0.5570753123944614,0.2933563081280923
1,3,tangent_mlp,110,0.5916919959473151,0.517774343122102,0.48687997907971853,0.5650118203309693,0.2553510302684178
1,3,tiv_lr,110,0.5160418777440055,0.517774343122102,0.4601421035226318,0.5040526849037488,0.25009914456581384
2,1,full_covariates_lr,116,0.7653092006033182,0.7712418300653595,0.7606494609622794,0.6998491704374057,0.20740923220978194
2,1,full_covariates_tiv_lr,116,0.7677224736048266,0.7856209150326797,0.7662426175169753,0.6998491704374057,0.2063813258941314
2,1,full_functional_lr,116,0.6633484162895927,0.6222222222222222,0.5844297834652263,0.6389140271493212,0.23290825801465598
2,1,full_functional_mlp,116,0.7182503770739065,0.6862745098039216,0.658461783168018,0.6662141779788839,0.21856376950965542
2,1,full_functional_tiv_mlp,116,0.7209653092006033,0.6993464052287581,0.6660712764114893,0.6662141779788839,0.21815143965802933
2,1,full_fusion_lr,116,0.6530920060331824,0.6379084967320261,0.577780210645096,0.609502262443439,0.23095724763193745
2,1,full_fusion_mlp,116,0.7182503770739065,0.6862745098039216,0.658461783168018,0.6662141779788839,0.21856376950965542
2,1,full_fusion_structural_mlp,116,0.7131221719457014,0.6862745098039216,0.643253275447951,0.6683257918552037,0.22132567234966127
2,1,full_fusion_tiv_mlp,116,0.7209653092006033,0.6993464052287581,0.6660712764114893,0.6662141779788839,0.21815143965802933
2,1,image_fusion_lr,116,0.6048265460030166,0.592156862745098,0.5182682059771433,0.5506787330316743,0.24265372560869453
2,1,image_fusion_mlp,116,0.621417797888386,0.6078431372549019,0.537010151692613,0.5702865761689291,0.2419217797879417
2,1,structural_lr,116,0.5806938159879336,0.5738562091503268,0.5623793615638462,0.5408748114630467,0.27168063545154336
2,1,structural_mlp,116,0.592156862745098,0.5764705882352941,0.5257972649043428,0.5374057315233786,0.2485520112119853
2,1,structural_tiv_lr,116,0.5800904977375565,0.5725490196078432,0.5614364536542484,0.5408748114630467,0.2718283216753499
2,1,tangent_lr,116,0.5933634992458522,0.5686274509803921,0.5182477995251982,0.6039215686274509,0.24989679593649783
2,1,tangent_mlp,116,0.6057315233785822,0.5764705882352941,0.5163175164406595,0.5941176470588235,0.25093765615201546
2,1,tiv_lr,116,0.5327300150829563,0.534640522875817,0.4636231061888969,0.5108597285067873,0.24991538832825982
2,2,full_covariates_lr,113,0.654655612244898,0.6018766756032171,0.5918719938340127,0.5856186224489797,0.24003027883290676
2,2,full_covariates_tiv_lr,113,0.6769770408163265,0.6353887399463807,0.6237258124431816,0.6036352040816326,0.2278986197065876
2,2,full_functional_lr,113,0.6855867346938775,0.6487935656836461,0.6298734484655159,0.6348852040816326,0.22224244587142364
2,2,full_functional_mlp,113,0.675063775510204,0.6179624664879356,0.6186342744973377,0.6090561224489797,0.22605475523880078
2,2,full_functional_tiv_mlp,113,0.7002551020408163,0.6541554959785522,0.6502596081510917,0.6372767857142857,0.21753734196698574
2,2,full_fusion_lr,113,0.6916454081632654,0.6407506702412868,0.6330588928643446,0.6426977040816326,0.2201307448279033
2,2,full_fusion_mlp,113,0.6839923469387755,0.6407506702412867,0.6319412767163014,0.5988520408163265,0.2225095820946367
2,2,full_fusion_structural_mlp,113,0.6731505102040816,0.6126005361930295,0.606428496910445,0.6576849489795918,0.22496697208487512
2,2,full_fusion_tiv_mlp,113,0.7002551020408163,0.6621983914209115,0.6584232081510817,0.6372767857142857,0.2205016878502913
2,2,image_fusion_lr,113,0.6814413265306122,0.648793565683646,0.6100997807044299,0.6396683673469388,0.22468872617424138
2,2,image_fusion_mlp,113,0.6795280612244898,0.64343163538874,0.5919664001879353,0.6294642857142857,0.22450960166345688
2,2,structural_lr,113,0.6339285714285714,0.6099195710455764,0.5511194026676431,0.5645727040816326,0.2342665113282323
2,2,structural_mlp,113,0.6348852040816326,0.5978552278820376,0.5383874478674919,0.6162308673469388,0.245520724551569
2,2,structural_tiv_lr,113,0.6342474489795918,0.6112600536193029,0.5518588840261445,0.5567602040816326,0.23426164570340438
2,2,tangent_lr,113,0.6572066326530612,0.628686327077748,0.6366389687680193,0.5856186224489797,0.2521657213132679
2,2,tangent_mlp,113,0.6536989795918368,0.6179624664879356,0.614185346501054,0.6348852040816326,0.25603679437677307
2,2,tiv_lr,113,0.5353954081632653,0.5174262734584452,0.47614994807887556,0.5207270408163265,0.24983598863240486
2,3,full_covariates_lr,121,0.660377358490566,0.5555555555555556,0.5770240718663505,0.6516370699223085,0.2367451637298664
2,3,full_covariates_tiv_lr,121,0.6556603773584905,0.5405092592592593,0.571286046308248,0.6610710321864595,0.235744715656968
2,3,full_functional_lr,121,0.6481687014428412,0.59375,0.5859863321924225,0.6169533851276359,0.23641565399243197
2,3,full_functional_mlp,121,0.660377358490566,0.5555555555555556,0.5770240718663505,0.6516370699223085,0.2367451637298664
2,3,full_functional_tiv_mlp,121,0.6556603773584905,0.5405092592592593,0.571286046308248,0.6610710321864595,0.235744715656968
2,3,full_fusion_lr,121,0.6534406215316315,0.5810185185185185,0.5895269198836838,0.5928135405105438,0.23637338142008663
2,3,full_fusion_mlp,121,0.6445615982241953,0.5266203703703703,0.5531727477165034,0.6180632630410654,0.2404285497108003
2,3,full_fusion_structural_mlp,121,0.66842397336293,0.5694444444444445,0.5848843284400917,0.6463651498335183,0.23070757442006873
2,3,full_fusion_tiv_mlp,121,0.6492785793562709,0.5219907407407407,0.5572724926819262,0.634850166481687,0.2387223322079964
2,3,image_fusion_lr,121,0.6251387347391787,0.5393518518518519,0.5719566377864809,0.5812985571587126,0.25868851349187255
2,3,image_fusion_mlp,121,0.6662042175360711,0.5972222222222222,0.5933320319927154,0.6358213096559377,0.23544983588800666
2,3,structural_lr,121,0.5990566037735849,0.49074074074074076,0.5316319688537811,0.5613207547169812,0.33801416259473444
2,3,structural_mlp,121,0.6304106548279689,0.5381944444444444,0.5220585303987406,0.6327691453940066,0.23496717638674264
2,3,structural_tiv_lr,121,0.5998890122086571,0.49074074074074076,0.5310563127555932,0.5613207547169812,0.3380877410998794
2,3,tangent_lr,121,0.6068257491675916,0.5625,0.5329404712128185,0.6116814650388457,0.27863924164600434
2,3,tangent_mlp,121,0.6576026637069923,0.6192129629629629,0.5912860491866492,0.6096004439511653,0.2433149283979264
2,3,tiv_lr,121,0.5216426193118757,0.5578703703703703,0.4500569659771984,0.55507769145394,0.2499751504811491
3,1,full_covariates_lr,117,0.7007665094339623,0.6970474967907574,0.6845540282899484,0.6628832547169812,0.21714308548509362
