repeat,fold,model,n,auc,within_site_auc,ap,balanced_accuracy,brier
1,1,full_covariates_lr,124,0.7384453781512605,0.6880165289256198,0.6787607217573686,0.657563025210084,0.2297985069165172
1,1,full_covariates_tiv_lr,124,0.7326680672268908,0.6776859504132231,0.6873710562823726,0.6911764705882353,0.21305546063431408
1,1,full_functional_lr,124,0.7384453781512605,0.6880165289256198,0.6787607217573686,0.657563025210084,0.2297985069165172
1,1,full_functional_mlp,124,0.7384453781512605,0.6880165289256198,0.6787607217573686,0.657563025210084,0.2297985069165172
1,1,full_functional_tiv_mlp,124,0.7326680672268908,0.6776859504132231,0.6873710562823726,0.6911764705882353,0.21305546063431408
1,1,full_fusion_lr,124,0.6465336134453782,0.606404958677686,0.5892956900519687,0.5766806722689075,0.23327762443147665
1,1,full_fusion_mlp,124,0.6465336134453782,0.606404958677686,0.5892956900519687,0.5766806722689075,0.23327762443147665
1,1,full_fusion_structural_mlp,124,0.7429096638655464,0.6611570247933884,0.7093289855155457,0.7001050420168067,0.22468160980317492
1,1,full_fusion_tiv_mlp,124,0.6465336134453781,0.6146694214876033,0.5691263108628957,0.5635504201680672,0.244461268395304
1,1,image_fusion_lr,124,0.5811449579831932,0.5588842975206612,0.5006596973494929,0.553046218487395,0.3495876573475822
1,1,image_fusion_mlp,124,0.5811449579831932,0.5588842975206612,0.5006596973494929,0.553046218487395,0.3495876573475822
1,1,structural_lr,124,0.5811449579831932,0.5588842975206612,0.5006596973494929,0.553046218487395,0.3495876573475822
1,1,structural_mlp,124,0.6617647058823529,0.5723140495867769,0.6279150466502155,0.6123949579831933,0.23607957353321063
1,1,structural_tiv_lr,124,0.5819327731092436,0.5588842975206612,0.5010715887881394,0.553046218487395,0.3494942036576311
1,1,tangent_lr,124,0.6953781512605042,0.637396694214876,0.6129659980649241,0.6528361344537814,0.22837224451164898
1,1,tangent_mlp,124,0.6903886554621849,0.625,0.6022859808265192,0.6307773109243697,0.2290057111812228
1,1,tiv_lr,124,0.4829306722689075,0.4979338842975207,0.42020757746258386,0.5078781512605042,0.25052799122151975
1,2,full_covariates_lr,126,0.6793854033290653,0.6312056737588653,0.6642376093616742,0.6291933418693982,0.23308589689993453
1,2,full_covariates_tiv_lr,126,0.6916773367477592,0.6372847011144884,0.6669325465190167,0.6160051216389244,0.2247858101865673
1,2,full_functional_lr,126,0.697055057618438,0.6403242147923,0.6603670152101428,0.6230473751600512,0.2301809203382094
1,2,full_functional_mlp,126,0.6852752880921895,0.6190476190476192,0.6416395007572963,0.6250960307298336,0.22979210954046642
1,2,full_functional_tiv_mlp,126,0.6914212548015365,0.6382978723404256,0.6511504380225118,0.5878361075544174,0.22249096593341272
1,2,full_fusion_lr,126,0.7093469910371318,0.6798378926038501,0.6320746613165228,0.6714468629961587,0.22299802145413258
1,2,full_fusion_mlp,126,0.699359795134443,0.6575481256332321,0.6137488062185242,0.655313700384123,0.22294631606509194
1,2,full_fusion_structural_mlp,126,0.6852752880921895,0.6190476190476192,0.6416395007572963,0.6250960307298336,0.22979210954046642
1,2,full_fusion_tiv_mlp,126,0.7065300896286811,0.6575481256332321,0.6366230100135656,0.6482714468629962,0.2171080319679805
1,2,image_fusion_lr,126,0.6793854033290654,0.6595744680851063,0.5934169080680737,0.623943661971831,0.2248867600580717
1,2,image_fusion_mlp,126,0.6673495518565942,0.6474164133738601,0.5821615586156605,0.6209987195902689,0.23129251112362417
1,2,structural_lr,126,0.6737516005121639,0.6565349544072948,0.5945094573676512,0.623943661971831,0.23283867616090956
1,2,structural_mlp,126,0.6094750320102433,0.5896656534954406,0.5403982676369201,0.5653008962868118,0.3026737445044997
1,2,structural_tiv_lr,126,0.6750320102432779,0.6605876393110436,0.5946928976486257,0.6309859154929578,0.23303547558838256
1,2,tangent_lr,126,0.6199743918053777,0.5714285714285714,0.5514614932635974,0.5978233034571063,0.2402223066820584
1,2,tangent_mlp,126,0.619718309859155,0.5825734549138805,0.5632206550532524,0.6019206145966709,0.26228262967088667
1,2,tiv_lr,126,0.5743918053777209,0.569402228976697,0.5094460983329566,0.5784891165172855,0.24903382367319324
1,3,full_covariates_lr,125,0.7378716744913928,0.7364016736401674,0.6798249401038237,0.6739697443922796,0.21166155602786949
1,3,full_covariates_tiv_lr,125,0.7537819509650495,0.7426778242677824,0.683968300103468,0.7228742827334377,0.20336847949888873
1,3,full_functional_lr,125,0.6859676577986437,0.6610878661087866,0.6045091721584162,0.6268909754825247,0.2238587012243506
1,3,full_functional_mlp,125,0.6794470526864893,0.6746861924686192,0.62487078932,0.6387584767866459,0.22631696537645096
1,3,full_functional_tiv_mlp,125,0.6990088680229525,0.6924686192468619,0.6293664274487213,0.6387584767866459,0.22059659867284165
1,3,full_fusion_lr,125,0.7000521648408972,0.6694560669456067,0.6211843666376438,0.6713615023474178,0.22109470716890645
1,3,full_fusion_mlp,125,0.6932707355242567,0.6799163179916318,0.6408743528641048,0.6365414710485133,0.22287611663450996
1,3,full_fusion_structural_mlp,125,0.690923317683881,0.6652719665271967,0.6243091397676945,0.6435837245696401,0.22256782654417667
1,3,full_fusion_tiv_mlp,125,0.7083985393844549,0.6861924686192469,0.653932534647099,0.6550599895670318,0.21820472274285038
1,3,image_fusion_lr,125,0.6431924882629109,0.5774058577405857,0.5525526477789753,0.6105894627021388,0.23292608092519176
1,3,image_fusion_mlp,125,0.6134585289514867,0.5575313807531381,0.5380762440466383,0.5616849243609807,0.24540716354142939
1,3,structural_lr,125,0.6609285341679708,0.5962343096234309,0.5841786062026965,0.6154147104851331,0.22887939316121933
1,3,structural_mlp,125,0.673187271778821,0.5972803347280334,0.5683245435253961,0.5854199269692228,0.23120182287254296
1,3,structural_tiv_lr,125,0.6606677099634847,0.5951882845188284,0.5836212457233088,0.6154147104851331,0.2288526206267755
