cohort,model,n,prevalence,ece,brier,brier_ref,brier_skill_score
primary,full_covariates_lr,1750,0.43714285714285717,0.06472598102428885,0.22365101655026592,0.24604897959183675,0.09103050570957916
primary,full_functional_mlp,1750,0.43714285714285717,0.05779626089416997,0.22446626930186314,0.24604897959183675,0.0877171298404753
primary,full_fusion_structural_mlp,1750,0.43714285714285717,0.06600699660455686,0.22948816529860816,0.24604897959183675,0.06730698221427633
primary,image_fusion_mlp,1750,0.43714285714285717,0.1207961329464234,0.2580359584941174,0.24604897959183675,-0.048717856591665276
warning_free,full_covariates_lr,1510,0.3973509933774834,0.09199824779913057,0.227055250120415,0.23946318143941053,0.0518156120887211
warning_free,full_functional_mlp,1510,0.3973509933774834,0.0949052399923716,0.22654106856202172,0.23946318143941053,0.05396283804346935
warning_free,full_fusion_structural_mlp,1510,0.3973509933774834,0.09000528062851025,0.22877180298076033,0.23946318143941053,0.044647274768440215
warning_free,image_fusion_mlp,1510,0.3973509933774834,0.12884735872227202,0.2526726011190199,0.23946318143941053,-0.05516263335435401
include_holds,full_covariates_lr,1875,0.44,0.06344111909292503,0.22470413496628844,0.24640000000000004,0.08805140029915415
include_holds,full_functional_mlp,1875,0.44,0.057240882524290895,0.22384314846812206,0.24640000000000004,0.09154566368456973
include_holds,full_fusion_structural_mlp,1875,0.44,0.07205681438614614,0.22565256620856927,0.24640000000000004,0.08420224753015726
include_holds,image_fusion_mlp,1875,0.44,0.0760420969468472,0.2446965657104514,0.24640000000000004,0.006913288512778615
