model,fold,n_test,auc,ap,balanced_accuracy,best_val_auc,epochs
cnn,1,103,0.6440613026819924,0.6172949645114472,0.5402298850574713,0.5428571428571428,9
cnn,2,102,0.5982142857142857,0.5491051918257664,0.5555124223602484,0.5425925925925926,9
cnn,3,102,0.5067698259187621,0.4738241521812067,0.49419729206963253,0.6391941391941391,10
cnn,4,102,0.5715399610136452,0.5531688389500019,0.5391812865497077,0.6300366300366299,11
transformer,1,103,0.5049808429118774,0.4546555070510234,0.5448275862068965,0.539047619047619,18
transformer,2,102,0.6055900621118012,0.5275757630917859,0.5609472049689441,0.5037037037037037,10
transformer,3,102,0.5667311411992263,0.5882645870902037,0.5338491295938105,0.5915750915750916,16
transformer,4,102,0.6358674463937621,0.5481872954245466,0.6005847953216374,0.5970695970695971,14
