model,mean_auc,sd_auc,mean_ap,mean_balanced_accuracy
cnn,0.5801463438321713,0.05735781171716623,0.5483482868671056,0.532280221509265
transformer,0.5782923731541667,0.05647505476389428,0.5296707881643898,0.5600521790228221
