feature_set,model,mean_auc,sd_auc,mean_ap,mean_balanced_accuracy
site_confounds,logreg,0.6934836907811803,0.025090949791397435,0.6488814623487845,0.6410801898867444
confounds,logreg,0.6748754509892471,0.033325139412044756,0.6361416245514958,0.6174216089125708
fmri_all_site_confounds,rbf_svm,0.6244647485831659,0.027454531050632263,0.594232032047152,0.5958095631826253
fmri_all_confounds,rbf_svm,0.6241758565561599,0.027455649855319612,0.5952215203275495,0.5972985832117996
fmri_all,rbf_svm,0.6221466252333937,0.027139379099233075,0.5944002836003447,0.5947496103211586
fmri_all_site_confounds,logreg,0.6019084233830112,0.04014849914477267,0.5485190266318043,0.5925105523795348
fmri_all_confounds,logreg,0.6010601344562462,0.040958854031815276,0.5474926484643766,0.5896360385411544
fmri_all_confounds,mlp,0.597706936800443,0.05934401243338856,0.5632919093800132,0.5723547287623557
fmri_all,logreg,0.5852223881341548,0.04529513044096772,0.534778168864268,0.5662264048453968
fmri_all_site_confounds,mlp,0.5795105766434178,0.04405344799097629,0.5219670631311503,0.5398668774493111
fmri_fc_brainlm,logreg,0.5728225686635567,0.05004111813556434,0.5356405961377504,0.5343674749116047
