cohort_a,cohort_b,common_model_shift,prediction_contribution,fusion_weight_contribution
primary,warning_free,-0.11889397772990105,0.003978443210106762,-0.12287242094000782
primary,include_holds,-0.0653273391402079,-0.021565046361337468,-0.04376229277887043
warning_free,include_holds,0.0578923437831356,-0.021412389449490088,0.07930473323262568
