model,mean,min,max
structural_lr_bio36,0.5672698994432588,0.5618958533493913,0.5722495716961191
structural_lr_full98,0.617601109801455,0.5724259298784826,0.6439605642551555
structural_mlp_bio36,0.5665349838736489,0.5382383343320979,0.5934734509436129
structural_mlp_full98,0.6238618715067729,0.5765376540311334,0.6518961334344492
