repeat,model,auc,within_site_auc
1,motion_only_lr,0.6325798677137833,0.5994547093739581
1,pearson_adjusted_lr,0.6128024912374027,0.5821261689814065
1,pearson_lr,0.6066209955725539,0.5805802007476007
1,pearson_mlp_ens,0.6014468119924657,0.5873601308841522
1,site_motion_lr,0.67090708114655,0.6038741017736617
1,site_only_lr,0.6289821431730092,0.5
1,tangent_adjusted_lr,0.6259653289917253,0.5681327405525564
1,tangent_lr,0.6233252259165174,0.5674742152603605
1,tangent_mlp_ens,0.6340363052968203,0.5701953397003979
2,motion_only_lr,0.6062169595092534,0.5654755963992456
2,pearson_adjusted_lr,0.5857185752953954,0.5362753103782002
2,pearson_lr,0.5898158864349602,0.5597290001000929
2,pearson_mlp_ens,0.6054754526279327,0.5794434255124724
2,site_motion_lr,0.6460691182514111,0.5747891386892431
2,site_only_lr,0.6289827508765852,0.5
2,tangent_adjusted_lr,0.6312127625564309,0.592227745337576
2,tangent_lr,0.6311225402790813,0.5945760414888936
2,tangent_mlp_ens,0.645772971276565,0.6061309820847997
3,motion_only_lr,0.6154745638614526,0.574943274652933
3,pearson_adjusted_lr,0.6015589115985546,0.579212239569269
3,pearson_lr,0.5990986453744697,0.5877121124728074
3,pearson_mlp_ens,0.6164478011385544,0.5858593124981547
3,site_motion_lr,0.6616333617977347,0.5866546915156451
3,site_only_lr,0.629324193471549,0.5
3,tangent_adjusted_lr,0.6394474498641837,0.605751744966008
3,tangent_lr,0.6382536161889628,0.6064356175411839
3,tangent_mlp_ens,0.6535930094121346,0.6197426890730887
4,motion_only_lr,0.627652997785463,0.581071898432285
4,pearson_adjusted_lr,0.5948935319612472,0.5849595559616881
4,pearson_lr,0.5849300364980257,0.5809044947501601
4,pearson_mlp_ens,0.6138970304890309,0.6049556098505878
4,site_motion_lr,0.6550668099544884,0.593830366909122
4,site_only_lr,0.6283998112212248,0.5
4,tangent_adjusted_lr,0.6535468673477505,0.6628765637725399
4,tangent_lr,0.6509000795332055,0.662218038480344
4,tangent_mlp_ens,0.657299697374471,0.6581449029278272
5,motion_only_lr,0.6249261775803174,0.5991537823978962
5,pearson_adjusted_lr,0.5943834299202204,0.5482318109841587
5,pearson_lr,0.5860423944866527,0.5453289350036616
5,pearson_mlp_ens,0.610750189446164,0.5714389407716087
5,site_motion_lr,0.6637613009804971,0.5966237347061191
5,site_only_lr,0.6318850129337769,0.5
5,tangent_adjusted_lr,0.6311738695275615,0.5727473502368027
5,tangent_lr,0.632551186275362,0.5731286036167406
5,tangent_mlp_ens,0.6356229542228834,0.5789302870507789
