repeat,fold,model,epoch,train_loss,val_auc
1,1,pearson_mlp_seed1201,1,0.7509604063793202,0.567398119122257
1,1,pearson_mlp_seed1201,2,0.7433572989791187,0.5689655172413793
1,1,pearson_mlp_seed1201,3,0.6749181270006284,0.5626959247648903
1,1,pearson_mlp_seed1201,4,0.7173218027276186,0.5689655172413793
1,1,pearson_mlp_seed1201,5,0.6703525921005514,0.5658307210031348
1,1,pearson_mlp_seed1201,6,0.6865317750332961,0.5658307210031348
1,1,pearson_mlp_seed1201,7,0.6007201587086293,0.5626959247648903
1,1,pearson_mlp_seed1201,8,0.6157818917018264,0.5705329153605015
1,1,pearson_mlp_seed1201,9,0.545145954658736,0.5705329153605017
1,1,pearson_mlp_seed1201,10,0.5087542670283152,0.5705329153605015
1,1,pearson_mlp_seed1201,11,0.48075597944544324,0.5658307210031348
1,1,pearson_mlp_seed1201,12,0.49638014349771375,0.5626959247648903
1,1,pearson_mlp_seed1201,13,0.45358690871528135,0.5642633228840125
1,1,pearson_mlp_seed1201,14,0.4077186904736419,0.5721003134796239
1,1,pearson_mlp_seed1201,15,0.40246791033009394,0.5768025078369906
1,1,pearson_mlp_seed1201,16,0.34128023676611297,0.5642633228840125
1,1,pearson_mlp_seed1201,17,0.3538319708696052,0.5642633228840126
1,1,pearson_mlp_seed1201,18,0.2903930666434824,0.5752351097178684
1,1,pearson_mlp_seed1201,19,0.22902282701795967,0.5517241379310345
1,1,pearson_mlp_seed1201,20,0.32840008018028677,0.5846394984326019
1,1,pearson_mlp_seed1201,21,0.17598305220034585,0.5815047021943573
1,1,pearson_mlp_seed1201,22,0.24311715164291325,0.5721003134796238
1,1,pearson_mlp_seed1201,23,0.2043827149776084,0.5595611285266457
1,1,pearson_mlp_seed1201,24,0.15074152347460315,0.54858934169279
1,1,pearson_mlp_seed1201,25,0.12948219070387124,0.5626959247648903
1,1,pearson_mlp_seed1201,26,0.1613151413291248,0.5673981191222571
1,1,pearson_mlp_seed1201,27,0.18389813980059838,0.561128526645768
1,1,pearson_mlp_seed1201,28,0.13798808048836034,0.5532915360501567
1,1,pearson_mlp_seed1201,29,0.13809726898794744,0.5658307210031348
1,1,pearson_mlp_seed1201,30,0.11061984730597159,0.5642633228840126
1,1,pearson_mlp_seed1201,31,0.1206432983130958,0.5532915360501567
1,1,pearson_mlp_seed1201,32,0.1060264605787856,0.554858934169279
1,1,pearson_mlp_seed2201,1,0.7368441926899241,0.5658307210031348
1,1,pearson_mlp_seed2201,2,0.7123915716190243,0.5721003134796238
1,1,pearson_mlp_seed2201,3,0.7028429312492485,0.5532915360501568
1,1,pearson_mlp_seed2201,4,0.6697813539362666,0.5658307210031348
1,1,pearson_mlp_seed2201,5,0.7051614419144777,0.5626959247648903
1,1,pearson_mlp_seed2201,6,0.6397526986266843,0.561128526645768
1,1,pearson_mlp_seed2201,7,0.6406424522992984,0.5626959247648903
1,1,pearson_mlp_seed2201,8,0.5962431335923684,0.5626959247648903
1,1,pearson_mlp_seed2201,9,0.5450782025631388,0.554858934169279
1,1,pearson_mlp_seed2201,10,0.5359466735699877,0.5532915360501567
1,1,pearson_mlp_seed2201,11,0.5124753209488901,0.5658307210031348
1,1,pearson_mlp_seed2201,12,0.4500956514581519,0.5971786833855799
1,1,pearson_mlp_seed2201,13,0.43993872848909293,0.5752351097178684
1,1,pearson_mlp_seed2201,14,0.426087446918535,0.5830721003134797
1,1,pearson_mlp_seed2201,15,0.3794598036737584,0.5799373040752351
1,1,pearson_mlp_seed2201,16,0.43279024973437563,0.5721003134796238
1,1,pearson_mlp_seed2201,17,0.3430879898925326,0.5752351097178684
1,1,pearson_mlp_seed2201,18,0.30771998920250887,0.584639498432602
1,1,pearson_mlp_seed2201,19,0.3389978288714565,0.5658307210031348
1,1,pearson_mlp_seed2201,20,0.3360284154687948,0.6018808777429467
1,1,pearson_mlp_seed2201,21,0.28557374183811357,0.6050156739811913
1,1,pearson_mlp_seed2201,22,0.231297607890409,0.5830721003134797
1,1,pearson_mlp_seed2201,23,0.21508575019551746,0.5736677115987461
1,1,pearson_mlp_seed2201,24,0.1997171045832373,0.5768025078369906
1,1,pearson_mlp_seed2201,25,0.24163657541743558,0.584639498432602
1,1,pearson_mlp_seed2201,26,0.18140529481629233,0.5877742946708464
1,1,pearson_mlp_seed2201,27,0.16592682642741732,0.5736677115987461
1,1,pearson_mlp_seed2201,28,0.1728884413541846,0.5595611285266459
1,1,pearson_mlp_seed2201,29,0.16658680126145112,0.5830721003134796
1,1,pearson_mlp_seed2201,30,0.12280745900685515,0.5752351097178684
1,1,pearson_mlp_seed2201,31,0.11224414185801548,0.5642633228840126
1,1,pearson_mlp_seed2201,32,0.14459755223485368,0.5736677115987462
1,1,pearson_mlp_seed2201,33,0.18270151813824972,0.5705329153605017
1,1,pearson_mlp_seed3201,1,0.7241977263445878,0.5721003134796239
1,1,pearson_mlp_seed3201,2,0.749554005873144,0.5721003134796239
1,1,pearson_mlp_seed3201,3,0.6972378311465629,0.5783699059561129
1,1,pearson_mlp_seed3201,4,0.6547436073644838,0.5736677115987461
1,1,pearson_mlp_seed3201,5,0.6281982921249237,0.5752351097178684
1,1,pearson_mlp_seed3201,6,0.6237799575672814,0.5736677115987461
1,1,pearson_mlp_seed3201,7,0.5926364523854422,0.5626959247648903
1,1,pearson_mlp_seed3201,8,0.5730658514582696,0.5815047021943573
1,1,pearson_mlp_seed3201,9,0.5330670726536518,0.5783699059561129
1,1,pearson_mlp_seed3201,10,0.49161195221231946,0.5783699059561129
1,1,pearson_mlp_seed3201,11,0.4540820295241342,0.603448275862069
