model,mean_auc,sd_repeat_auc,min_repeat_auc,max_repeat_auc,mean_within_site_auc
fusion_tangent_lr,0.670587654784,0.010274882943895497,0.6543412444401905,0.6814625124484279,0.6285076427098838
fusion_tangent_mlp,0.6720121770774428,0.012057552693491076,0.6532315560065585,0.6827465684009985,0.6296614697535625
site_motion_lr,0.6594875344261363,0.009392449101032416,0.6460691182514111,0.67090708114655,0.5911544067187582
tangent_lr,0.6352305296386258,0.010252616255639281,0.6233252259165174,0.6509000795332055,0.6007665032775045
tangent_mlp,0.6452649875165749,0.0104103355852005,0.6340363052968203,0.657299697374471,0.6066288401673785
