model,mean_auc,sd_repeat_auc,min_repeat_auc,max_repeat_auc,mean_within_site_auc
motion_only_lr,0.6213701132900539,0.010513733847082233,0.6062169595092534,0.6325798677137833,0.5840198522512636
pearson_adjusted_lr,0.5978713880025641,0.010065535367814635,0.5857185752953954,0.6128024912374027,0.5661610171749445
pearson_lr,0.5933015916733324,0.009299749629715618,0.5849300364980257,0.6066209955725539,0.5708509486148646
pearson_mlp_ens,0.6096034571388296,0.006127113781596049,0.6014468119924657,0.6164478011385544,0.5858114839033952
site_motion_lr,0.6594875344261363,0.009392449101032416,0.6460691182514111,0.67090708114655,0.5911544067187582
site_only_lr,0.629514782335229,0.0013660380430676397,0.6283998112212248,0.6318850129337769,0.5
tangent_adjusted_lr,0.6362692556575305,0.010797207638580292,0.6259653289917253,0.6535468673477505,0.6003472289730966
tangent_lr,0.6352305296386258,0.010252616255639281,0.6233252259165174,0.6509000795332055,0.6007665032775045
tangent_mlp_ens,0.6452649875165749,0.0104103355852005,0.6340363052968203,0.657299697374471,0.6066288401673785
