model,mean,min,max
tangent_lr_bio148,0.6206585846120027,0.5901172969187675,0.647274829544915
tangent_lr_full424,0.615238094906559,0.6030340113549048,0.6352818709581315
tangent_mlp_bio148,0.6246766855019542,0.6015133831310302,0.6439501193559185
tangent_mlp_full424,0.6209574352054977,0.6023118969810146,0.6417367346067601
