framework,cohort,unit,alpha,probability
cv,warning_free,repeat4_fold3,0.75,0.0
cv,warning_free,repeat4_fold3,1.0,0.001
cv,warning_free,repeat5_fold1,0.0,0.118
cv,warning_free,repeat5_fold1,0.25,0.621
cv,warning_free,repeat5_fold1,0.5,0.1
cv,warning_free,repeat5_fold1,0.75,0.079
cv,warning_free,repeat5_fold1,1.0,0.082
cv,warning_free,repeat5_fold2,0.0,0.812
cv,warning_free,repeat5_fold2,0.25,0.176
cv,warning_free,repeat5_fold2,0.5,0.012
cv,warning_free,repeat5_fold2,0.75,0.0
cv,warning_free,repeat5_fold2,1.0,0.0
cv,warning_free,repeat5_fold3,0.0,0.757
cv,warning_free,repeat5_fold3,0.25,0.134
cv,warning_free,repeat5_fold3,0.5,0.031
cv,warning_free,repeat5_fold3,0.75,0.052
cv,warning_free,repeat5_fold3,1.0,0.026
cv,include_holds,repeat1_fold1,0.0,0.404
cv,include_holds,repeat1_fold1,0.25,0.192
cv,include_holds,repeat1_fold1,0.5,0.112
cv,include_holds,repeat1_fold1,0.75,0.08
cv,include_holds,repeat1_fold1,1.0,0.212
cv,include_holds,repeat1_fold2,0.0,0.496
cv,include_holds,repeat1_fold2,0.25,0.229
cv,include_holds,repeat1_fold2,0.5,0.221
cv,include_holds,repeat1_fold2,0.75,0.036
cv,include_holds,repeat1_fold2,1.0,0.018
cv,include_holds,repeat1_fold3,0.0,0.24
cv,include_holds,repeat1_fold3,0.25,0.622
cv,include_holds,repeat1_fold3,0.5,0.138
cv,include_holds,repeat1_fold3,0.75,0.0
cv,include_holds,repeat1_fold3,1.0,0.0
cv,include_holds,repeat2_fold1,0.0,0.266
cv,include_holds,repeat2_fold1,0.25,0.129
cv,include_holds,repeat2_fold1,0.5,0.445
cv,include_holds,repeat2_fold1,0.75,0.112
cv,include_holds,repeat2_fold1,1.0,0.048
cv,include_holds,repeat2_fold2,0.0,0.071
cv,include_holds,repeat2_fold2,0.25,0.36
cv,include_holds,repeat2_fold2,0.5,0.449
cv,include_holds,repeat2_fold2,0.75,0.083
cv,include_holds,repeat2_fold2,1.0,0.037
cv,include_holds,repeat2_fold3,0.0,0.19
cv,include_holds,repeat2_fold3,0.25,0.649
cv,include_holds,repeat2_fold3,0.5,0.118
cv,include_holds,repeat2_fold3,0.75,0.027
cv,include_holds,repeat2_fold3,1.0,0.016
cv,include_holds,repeat3_fold1,0.0,0.098
cv,include_holds,repeat3_fold1,0.25,0.647
cv,include_holds,repeat3_fold1,0.5,0.201
cv,include_holds,repeat3_fold1,0.75,0.041
cv,include_holds,repeat3_fold1,1.0,0.013
cv,include_holds,repeat3_fold2,0.0,0.676
cv,include_holds,repeat3_fold2,0.25,0.316
cv,include_holds,repeat3_fold2,0.5,0.004
cv,include_holds,repeat3_fold2,0.75,0.004
cv,include_holds,repeat3_fold2,1.0,0.0
cv,include_holds,repeat3_fold3,0.0,0.788
cv,include_holds,repeat3_fold3,0.25,0.111
cv,include_holds,repeat3_fold3,0.5,0.065
cv,include_holds,repeat3_fold3,0.75,0.032
cv,include_holds,repeat3_fold3,1.0,0.004
cv,include_holds,repeat4_fold1,0.0,0.759
cv,include_holds,repeat4_fold1,0.25,0.072
cv,include_holds,repeat4_fold1,0.5,0.145
cv,include_holds,repeat4_fold1,0.75,0.024
cv,include_holds,repeat4_fold1,1.0,0.0
cv,include_holds,repeat4_fold2,0.0,0.012
cv,include_holds,repeat4_fold2,0.25,0.129
cv,include_holds,repeat4_fold2,0.5,0.473
cv,include_holds,repeat4_fold2,0.75,0.203
cv,include_holds,repeat4_fold2,1.0,0.183
cv,include_holds,repeat4_fold3,0.0,0.174
cv,include_holds,repeat4_fold3,0.25,0.824
cv,include_holds,repeat4_fold3,0.5,0.002
cv,include_holds,repeat4_fold3,0.75,0.0
cv,include_holds,repeat4_fold3,1.0,0.0
cv,include_holds,repeat5_fold1,0.0,0.695
cv,include_holds,repeat5_fold1,0.25,0.235
cv,include_holds,repeat5_fold1,0.5,0.059
cv,include_holds,repeat5_fold1,0.75,0.008
cv,include_holds,repeat5_fold1,1.0,0.003
cv,include_holds,repeat5_fold2,0.0,0.863
cv,include_holds,repeat5_fold2,0.25,0.13
cv,include_holds,repeat5_fold2,0.5,0.003
cv,include_holds,repeat5_fold2,0.75,0.002
cv,include_holds,repeat5_fold2,1.0,0.002
cv,include_holds,repeat5_fold3,0.0,0.238
cv,include_holds,repeat5_fold3,0.25,0.172
cv,include_holds,repeat5_fold3,0.5,0.024
cv,include_holds,repeat5_fold3,0.75,0.418
cv,include_holds,repeat5_fold3,1.0,0.148
loso,primary,site_KKI,0.0,0.143
loso,primary,site_KKI,0.25,0.132
loso,primary,site_KKI,0.5,0.44
loso,primary,site_KKI,0.75,0.02
loso,primary,site_KKI,1.0,0.265
loso,primary,site_NYU,0.0,0.92
loso,primary,site_NYU,0.25,0.05
loso,primary,site_NYU,0.5,0.03
loso,primary,site_NYU,0.75,0.0
loso,primary,site_NYU,1.0,0.0
loso,primary,site_NeuroIMAGE,0.0,0.131
loso,primary,site_NeuroIMAGE,0.25,0.481
loso,primary,site_NeuroIMAGE,0.5,0.098
loso,primary,site_NeuroIMAGE,0.75,0.268
loso,primary,site_NeuroIMAGE,1.0,0.022
loso,primary,site_OHSU,0.0,0.03
loso,primary,site_OHSU,0.25,0.357
loso,primary,site_OHSU,0.5,0.324
loso,primary,site_OHSU,0.75,0.139
loso,primary,site_OHSU,1.0,0.15
loso,primary,site_Peking_1,0.0,0.367
loso,primary,site_Peking_1,0.25,0.19
loso,primary,site_Peking_1,0.5,0.016
loso,primary,site_Peking_1,0.75,0.147
loso,primary,site_Peking_1,1.0,0.28
loso,primary,site_Peking_2,0.0,0.019
loso,primary,site_Peking_2,0.25,0.379
loso,primary,site_Peking_2,0.5,0.473
loso,primary,site_Peking_2,0.75,0.052
loso,primary,site_Peking_2,1.0,0.077
loso,primary,site_Peking_3,0.0,0.409
loso,primary,site_Peking_3,0.25,0.101
loso,primary,site_Peking_3,0.5,0.358
loso,primary,site_Peking_3,0.75,0.014
loso,primary,site_Peking_3,1.0,0.118
loso,warning_free,site_KKI,0.0,0.455
loso,warning_free,site_KKI,0.25,0.423
loso,warning_free,site_KKI,0.5,0.11
loso,warning_free,site_KKI,0.75,0.008
loso,warning_free,site_KKI,1.0,0.004
loso,warning_free,site_NYU,0.0,0.201
loso,warning_free,site_NYU,0.25,0.09
loso,warning_free,site_NYU,0.5,0.026
loso,warning_free,site_NYU,0.75,0.174
loso,warning_free,site_NYU,1.0,0.509
loso,warning_free,site_NeuroIMAGE,0.0,0.424
loso,warning_free,site_NeuroIMAGE,0.25,0.477
loso,warning_free,site_NeuroIMAGE,0.5,0.094
loso,warning_free,site_NeuroIMAGE,0.75,0.002
loso,warning_free,site_NeuroIMAGE,1.0,0.003
loso,warning_free,site_OHSU,0.0,0.601
loso,warning_free,site_OHSU,0.25,0.173
loso,warning_free,site_OHSU,0.5,0.199
loso,warning_free,site_OHSU,0.75,0.005
loso,warning_free,site_OHSU,1.0,0.022
loso,warning_free,site_Peking_1,0.0,0.819
loso,warning_free,site_Peking_1,0.25,0.179
