framework,cohort,unit,validation_n,original_alpha,probability_same_alpha,probability_zero_alpha,original_test_delta,conditional_test_delta_q05,conditional_test_delta_q95,bootstrap_repetitions,scope
cv,include_holds,repeat3_fold2,50,0.0,0.676,0.676,0.0,-0.004609475032010146,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat3_fold3,50,0.0,0.788,0.788,0.0,-0.006259780907668211,0.012780386019822676,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat4_fold1,51,0.0,0.759,0.759,0.0,0.0,0.020962732919254767,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat4_fold2,51,0.5,0.473,0.012,-0.011011523687580183,-0.06094750320102449,0.007170294494238116,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat4_fold3,51,0.25,0.824,0.174,0.023015873015873045,0.0,0.023015873015873045,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat5_fold1,50,0.0,0.695,0.695,0.0,-0.0002542588354945696,0.01067887109077037,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat5_fold2,51,0.0,0.863,0.863,0.0,0.0,0.01382368283776736,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,include_holds,repeat5_fold3,51,0.75,0.418,0.238,-0.026984126984127,-0.051587301587301626,0.023015873015872934,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_KKI,41,0.5,0.44,0.143,0.11212121212121218,0.0,0.11212121212121218,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_NYU,32,0.0,0.92,0.92,0.0,-0.013824884792626668,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_NeuroIMAGE,49,0.25,0.481,0.131,-0.03076923076923077,-0.09743589743589742,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_OHSU,48,0.5,0.324,0.03,0.15384615384615385,0.07287449392712542,0.1821862348178137,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_Peking_1,46,0.25,0.19,0.367,0.05681818181818188,0.0,0.05681818181818188,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_Peking_2,51,0.5,0.473,0.019,-0.288888888888889,-0.3777777777777779,-0.17777777777777792,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,primary,site_Peking_3,52,0.5,0.358,0.409,-0.11111111111111105,-0.33333333333333326,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_KKI,35,0.25,0.423,0.455,0.06081871345029255,0.0,0.08187134502923987,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_NYU,29,1.0,0.509,0.201,-0.14496855345911963,-0.14496855345911963,0.0015723270440249904,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_NeuroIMAGE,42,0.25,0.477,0.424,-0.024242424242424288,-0.06060606060606066,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_OHSU,42,0.0,0.601,0.601,0.0,0.0,0.0326797385620915,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_Peking_1,39,0.0,0.819,0.819,0.0,0.0,0.06262626262626259,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_Peking_2,44,0.25,0.594,0.302,-0.1499999999999999,-0.27499999999999997,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,warning_free,site_Peking_3,45,0.25,0.626,0.298,0.0,0.0,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_KKI,44,0.0,0.471,0.471,0.0,0.0,0.0696969696969697,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_NYU,33,0.25,0.337,0.422,-0.05082070707070696,-0.1633522727272726,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_NeuroIMAGE,52,0.0,0.517,0.517,0.0,0.0,0.03809523809523818,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_OHSU,52,0.0,0.861,0.861,0.0,0.0,0.23443223443223454,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_Peking_1,49,0.5,0.275,0.263,-0.09191176470588225,-0.15625,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_Peking_2,55,0.0,0.624,0.624,0.0,-0.0888888888888889,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
loso,include_holds,site_Peking_3,56,0.75,0.534,0.038,-0.33333333333333337,-0.6666666666666667,-0.11111111111111116,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
