cohort_a,cohort_b,common_n,native_a,native_b,common_fixed_a,common_fixed_b,weight_shift,total_native_shift,total_shift,common_subject_model_shift,evaluation_composition_shift,identity_residual,three_component_residual
primary,warning_free,302,0.0275358246698511,-0.08565004088307449,0.031330554691586396,-0.08756342303831464,0.0019133821552401592,-0.11318586555292559,-0.11509924770816574,-0.11889397772990104,0.0037947300217352972,6.938893903907228e-18,0.0
primary,include_holds,350,0.0275358246698511,-0.04292091106787217,0.0275358246698511,-0.0377915144703568,-0.0015964565412831186,-0.07045673573772326,-0.06886027919644015,-0.0653273391402079,-0.0035329400562322533,0.0,0.0
warning_free,include_holds,302,-0.08565004088307449,-0.04292091106787217,-0.08756342303831464,-0.029671079255179054,-0.003509838696523278,0.04272912981520231,0.04623896851172559,0.05789234378313559,-0.01165337527141,0.0,0.0
