cohort,site,site_delta,native_weight,fixed_weight,native_contribution,fixed_contribution
primary,KKI,0.11212121212121218,0.18544534981736444,0.18544534981736444,0.020792357403765113,0.020792357403765113
primary,NYU,0.0,0.6706940151728014,0.6706940151728014,0.0,0.0
primary,NeuroIMAGE,-0.03076923076923077,0.02739533576847429,0.02739533576847429,-0.0008429334082607475,-0.0008429334082607475
primary,OHSU,0.15384615384615385,0.034700758640067435,0.034700758640067435,0.0053385782523180676,0.0053385782523180676
primary,Peking_1,0.05681818181818188,0.07417813992694577,0.07417813992694577,0.004214667041303742,0.004214667041303742
primary,Peking_2,-0.288888888888889,0.006322000561955606,0.006322000561955606,-0.0018263557178982866,-0.0018263557178982866
primary,Peking_3,-0.11111111111111105,0.001264400112391121,0.001264400112391121,-0.00014048890137679116,-0.00014048890137679116
warning_free,KKI,0.06081871345029255,0.17477514309076042,0.18544534981736444,0.010629599345870835,0.01127854759123155
warning_free,NYU,-0.14496855345911963,0.6500408830744072,0.6706940151728014,-0.09423548650858554,-0.09722954119328985
warning_free,NeuroIMAGE,-0.024242424242424288,0.033728536385936224,0.02739533576847429,-0.00081766148814391,-0.0006641293519630144
warning_free,OHSU,0.0,0.031275551921504496,0.034700758640067435,0.0,0.0
warning_free,Peking_1,0.0,0.10118560915780866,0.07417813992694577,0.0,0.0
warning_free,Peking_2,-0.1499999999999999,0.008176614881439084,0.006322000561955606,-0.0012264922322158618,-0.0009483000842933403
warning_free,Peking_3,0.0,0.0008176614881439084,0.001264400112391121,0.0,0.0
include_holds,KKI,0.0,0.15108160695891037,0.18544534981736444,0.0,0.0
include_holds,NYU,-0.05082070707070696,0.7251917134027698,0.6706940151728014,-0.036854755636946235,-0.03408514407917323
include_holds,NeuroIMAGE,0.0,0.02403571019800847,0.02739533576847429,0.0,0.0
include_holds,OHSU,0.0,0.03124642325741101,0.034700758640067435,0.0,0.0
include_holds,Peking_1,-0.09191176470588225,0.062263934989126704,0.07417813992694577,-0.0057227881423829625,-0.006817843743285449
include_holds,Peking_2,0.0,0.005150509328144672,0.006322000561955606,0.0,0.0
include_holds,Peking_3,-0.33333333333333337,0.0010301018656289345,0.001264400112391121,-0.0003433672885429782,-0.00042146670413037375
