cohort,metric,excluded_site,full_delta,delta_without_site,change,scope
primary,native_pair_weighted,KKI,0.0275358246698511,0.008278716798896175,-0.019257107870954922,aggregation_only_no_refit
primary,native_pair_weighted,NYU,0.0275358246698511,0.08361774744027307,0.056081922770421976,aggregation_only_no_refit
primary,native_pair_weighted,NeuroIMAGE,0.0275358246698511,0.02917810197891089,0.0016422773090597927,aggregation_only_no_refit
primary,native_pair_weighted,OHSU,0.0275358246698511,0.022995197205646935,-0.004540627464204163,aggregation_only_no_refit
primary,native_pair_weighted,Peking_1,0.0275358246698511,0.025189681335356602,-0.0023461433344944965,aggregation_only_no_refit
primary,native_pair_weighted,Peking_2,0.0275358246698511,0.029548989113530343,0.002013164443679244,aggregation_only_no_refit
primary,native_pair_weighted,Peking_3,0.0275358246698511,0.027711351807567886,0.0001755271377167876,aggregation_only_no_refit
primary,fixed_primary_site_weights,KKI,0.0275358246698511,0.008278716798896175,-0.019257107870954922,aggregation_only_no_refit
primary,fixed_primary_site_weights,NYU,0.0275358246698511,0.08361774744027307,0.056081922770421976,aggregation_only_no_refit
primary,fixed_primary_site_weights,NeuroIMAGE,0.0275358246698511,0.02917810197891089,0.0016422773090597927,aggregation_only_no_refit
primary,fixed_primary_site_weights,OHSU,0.0275358246698511,0.022995197205646935,-0.004540627464204163,aggregation_only_no_refit
primary,fixed_primary_site_weights,Peking_1,0.0275358246698511,0.025189681335356602,-0.0023461433344944965,aggregation_only_no_refit
primary,fixed_primary_site_weights,Peking_2,0.0275358246698511,0.029548989113530343,0.002013164443679244,aggregation_only_no_refit
primary,fixed_primary_site_weights,Peking_3,0.0275358246698511,0.027711351807567886,0.0001755271377167876,aggregation_only_no_refit
primary,macro,KKI,-0.015426240426240412,-0.03668414918414918,-0.02125790875790877,aggregation_only_no_refit
primary,macro,NYU,-0.015426240426240412,-0.017997280497280485,-0.0025710400710400733,aggregation_only_no_refit
primary,macro,NeuroIMAGE,-0.015426240426240412,-0.012869075369075354,0.0025571650571650575,aggregation_only_no_refit
primary,macro,OHSU,-0.015426240426240412,-0.04363830613830613,-0.02821206571206572,aggregation_only_no_refit
primary,macro,Peking_1,-0.015426240426240412,-0.027466977466977467,-0.012040737040737055,aggregation_only_no_refit
primary,macro,Peking_2,-0.015426240426240412,0.030150867650867684,0.045577108077108096,aggregation_only_no_refit
primary,macro,Peking_3,-0.015426240426240412,0.0005212380212380255,0.015947478447478437,aggregation_only_no_refit
warning_free,native_pair_weighted,KKI,-0.08565004088307449,-0.1166707951449097,-0.031020754261835218,aggregation_only_no_refit
warning_free,native_pair_weighted,NYU,-0.08565004088307449,0.024532710280373907,0.11018275116344839,aggregation_only_no_refit
warning_free,native_pair_weighted,NeuroIMAGE,-0.08565004088307449,-0.0877935265496087,-0.0021434856665342172,aggregation_only_no_refit
warning_free,native_pair_weighted,OHSU,-0.08565004088307449,-0.0884152774847015,-0.0027652366016270163,aggregation_only_no_refit
warning_free,native_pair_weighted,Peking_1,-0.08565004088307449,-0.09529224471230394,-0.009642203829229451,aggregation_only_no_refit
warning_free,native_pair_weighted,Peking_2,-0.08565004088307449,-0.0851195383347074,0.00053050254836709,aggregation_only_no_refit
warning_free,native_pair_weighted,Peking_3,-0.08565004088307449,-0.08572013093289695,-7.009004982246048e-05,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,KKI,-0.08756342303831464,-0.12134479940343391,-0.03378137636511927,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,NYU,-0.08756342303831464,0.029352998731703685,0.11691642177001833,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,NeuroIMAGE,-0.08756342303831464,-0.0893469843217465,-0.0017835612834318504,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,OHSU,-0.08756342303831464,-0.09071116943483097,-0.0031477463965163266,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,Peking_1,-0.08756342303831464,-0.0945791267354664,-0.007015703697151751,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,Peking_2,-0.08756342303831464,-0.08716618764127297,0.0003972353970416731,aggregation_only_no_refit
warning_free,fixed_primary_site_weights,Peking_3,-0.08756342303831464,-0.08767427840578473,-0.00011085536747008906,aggregation_only_no_refit
warning_free,macro,KKI,-0.03691318060732161,-0.053201829616923976,-0.016288649009602363,aggregation_only_no_refit
warning_free,macro,NYU,-0.03691318060732161,-0.01890395179868861,0.018009228808633003,aggregation_only_no_refit
warning_free,macro,NeuroIMAGE,-0.03691318060732161,-0.0390249733348045,-0.0021117927274828877,aggregation_only_no_refit
warning_free,macro,OHSU,-0.03691318060732161,-0.04306537737520855,-0.006152196767886933,aggregation_only_no_refit
warning_free,macro,Peking_1,-0.03691318060732161,-0.04306537737520855,-0.006152196767886933,aggregation_only_no_refit
warning_free,macro,Peking_2,-0.03691318060732161,-0.018065377375208563,0.01884780323211305,aggregation_only_no_refit
warning_free,macro,Peking_3,-0.03691318060732161,-0.04306537737520855,-0.006152196767886933,aggregation_only_no_refit
include_holds,native_pair_weighted,KKI,-0.042920911067872186,-0.05055952541458801,-0.007638614346715825,aggregation_only_no_refit
include_holds,native_pair_weighted,NYU,-0.042920911067872186,-0.022074135776759665,0.02084677529111252,aggregation_only_no_refit
include_holds,native_pair_weighted,NeuroIMAGE,-0.042920911067872186,-0.043977952386536796,-0.0010570413186646102,aggregation_only_no_refit
include_holds,native_pair_weighted,OHSU,-0.042920911067872186,-0.044305293005670994,-0.0013843819377988079,aggregation_only_no_refit
include_holds,native_pair_weighted,Peking_1,-0.042920911067872186,-0.039668009276211315,0.0032529017916608713,aggregation_only_no_refit
include_holds,native_pair_weighted,Peking_2,-0.042920911067872186,-0.043143120110446305,-0.00022220904257411883,aggregation_only_no_refit
include_holds,native_pair_weighted,Peking_3,-0.042920911067872186,-0.04262144821264886,0.00029946285522332305,aggregation_only_no_refit
